phase1	phase2	gsed	gsed2	gsed3	gsed4	short1	short2	instrument	seq_phase1	seq_phase2	label
Ma_LF_C15	Ma_LF_C16	by1mdd100	gtofmd015	gl1fmd016	lfcfmd016	C15	C16	LF	116	117	C16 Puts 3 or more blocks in cup
Ma_LF_C23	Ma_LF_C17	mdtfmd016	gtofmd023	gl1fmd017	lfcfmd017	C23	C17	LF	124	118	C17 Puts blocks in jar
Ma_LF_C21	Ma_LF_C18	by1mdd108	gtofmd021	gl1fmd018	lfcfmd018	C21	C18	LF	122	119	C18 Puts 1 peg in again (2X)
Ma_LF_C20	Ma_LF_C19	denfmd015	gtofmd020	gl1fmd019	lfcfmd019	C20	C19	LF	121	120	C19 Scribbles in any way (2X)
Ma_LF_C22	Ma_LF_C20	gricgd023	gtofmd022	gl1fmd020	lfcfmd020	C22	C20	LF	123	121	C20 Accepts third block without dropping (2X)
Ma_LF_C27	Ma_LF_C21	by3cgd048	gtofmd027	gl1fmd021	lfcfmd021	C27	C21	LF	128	122	C21 Uses objects in play by him-/herself (2X)
Ma_LF_C18	Ma_LF_C22	dmcsld019	gtofmd018	gl1fmd022	lfcfmd022	C18	C22	LF	119	123	C22 Manages a cup well
Ma_LF_C19	Ma_LF_C23	by1mdd098	gtofmd019	gl1fmd023	lfcfmd023	C19	C23	LF	120	124	C23 Holds crayon with fingers, not fist (2X)
Ma_LF_C16	Ma_LF_C24	by1mdd097	gtofmd016	gl1fmd024	lfcfmd024	C16	C24	LF	117	125	C24 Repeats something when encouraged (2X)
Ma_LF_C25	Ma_LF_C25	mdtfmd017	gtofmd025	gl1fmd025	lfcfmd025	C25	C25	LF	126	126	C25 Dumps blocks out of jar purposefully (2X)
Ma_LF_C24	Ma_LF_C26	ddifmd013	gtofmd024	gl1fmd026	lfcfmd026	C24	C26	LF	125	127	C26 Builds tower of 2 blocks (2X)
Ma_LF_C32	Ma_LF_C27	mdtfmd021	gtofmd032	gl1fmd027	lfcfmd027	C32	C27	LF	133	128	C27 Puts pegs in board < 2 minutes (2X)
Ma_LF_C28	Ma_LF_C28	by1mdd119	gtofmd028	gl1fmd028	lfcfmd028	C28	C28	LF	129	129	C28 Builds tower of 3 blocks (2X)
Ma_LF_C26	Ma_LF_C29	by1mdd131	gtofmd026	gl1fmd029	lfcfmd029	C26	C29	LF	127	130	C29 Finds object under 2 alternating cups (3X)
Ma_LF_C33	Ma_LF_C30	gricgd213	gtofmd033	gl1fmd030	lfcfmd030	C33	C30	LF	134	131	C30 Inserts 2 shapes in board (2X)
Ma_LF_C35	Ma_LF_C31	by3cgd056	gtofmd035	gl1fmd031	lfcfmd031	C35	C31	LF	136	132	C31 Inserts 3 shapes in board in 2 minutes (2X)
Ma_LF_C31	Ma_LF_C32	by3cgd053	gtofmd031	gl1fmd032	lfcfmd032	C31	C32	LF	132	133	C32 Uses objects in play with someone (2X)
Ma_LF_C30	Ma_LF_C33	mdtfmd019	gtofmd030	gl1fmd033	lfcfmd033	C30	C33	LF	131	134	C33 Scribbles on paper (circular scribble)
Ma_LF_C37	Ma_LF_C34	mdtfmd023	gtofmd037	gl1fmd034	lfcfmd034	C37	C34	LF	138	135	C34 Builds tower of 6 blocks (2X)
Ma_LF_C29	Ma_LF_C35	mdtfmd022	gtofmd029	gl1fmd035	lfcfmd035	C29	C35	LF	130	136	"C35 Understands the concept of ""1"" (2X)"
Ma_LF_C36	Ma_LF_C36	by3cgd060	gtofmd036	gl1fmd036	lfcfmd036	C36	C36	LF	137	137	C36 Inserts 3 shapes in rotated board in 2 minutes (2X)
Ma_LF_C43	Ma_LF_C37	by3fmd044	gtofmd043	gl1fmd037	lfcfmd037	C43	C37	LF	144	138	C37 Builds truck/lorry of blocks (2X)
Ma_LF_C40	Ma_LF_C38	mdtfmd025	gtofmd040	gl1fmd038	lfcfmd038	C40	C38	LF	141	139	C38 Unscrews and screws lid of jar (2X)
Ma_LF_C41	Ma_LF_C39	by3cgd065	gtofmd041	gl1fmd039	lfcfmd039	C41	C39	LF	142	140	C39 Engages in representational play
Ma_LF_C39	Ma_LF_C40	sbivsd003	gtofmd039	gl1fmd040	lfcfmd040	C39	C40	LF	140	141	C40 Inserts 3 shapes in 15 seconds (2X)
Ma_LF_C42	Ma_LF_C41	by3cgd067	gtofmd042	gl1fmd041	lfcfmd041	C42	C41	LF	143	142	C41 Copies 2-part activity (3X)
Ma_LF_C38	Ma_LF_C42	mdtfmd024	gtofmd038	gl1fmd042	lfcfmd042	C38	C42	LF	139	143	C42 Puts pegs in board in < 30 seconds (2X)
Ma_LF_C45	Ma_LF_C43	griehd301	gtofmd045	gl1fmd043	lfcfmd043	C45	C43	LF	146	144	C43 Draws horizontal line (2X)
Ma_LF_C34	Ma_LF_C44	by3cgd089	gtofmd034	gl1fmd044	lfcfmd044	C34	C44	LF	135	145	"C44 Understands ""more"" (3X-5X)"
Ma_LF_C44	Ma_LF_C45	ddifmd023	gtofmd044	gl1fmd045	lfcfmd045	C44	C45	LF	145	146	C45 Imitates building bridge (2X)
Ma_LF_C46	Ma_LF_C46	mdtfmd028	gtofmd046	gl1fmd046	lfcfmd046	C46	C46	LF	147	147	C46 Picks longest stick 3 of 3 (3X-5X)
Ma_LF_C49	Ma_LF_C47	ddifmd026	gtofmd049	gl1fmd047	lfcfmd047	C49	C47	LF	150	148	C47 Copies a circle
Ma_LF_C48	Ma_LF_C48	by3fmd050	gtofmd048	gl1fmd048	lfcfmd048	C48	C48	LF	149	149	C48 Builds wall of blocks (2X)
Ma_LF_C51	Ma_LF_C49	by3cgd073	gtofmd051	gl1fmd049	lfcfmd049	C51	C49	LF	152	150	C49 Understands concept of size (2X)
Ma_LF_C47	Ma_LF_C50	mdtlgd031	gtofmd047	gl1fmd050	lfcfmd050	C47	C50	LF	148	151	C50 Understands prepositions (2X)
Ma_LF_C50	Ma_LF_C51	mdtfmd033	gtofmd050	gl1fmd051	lfcfmd051	C50	C51	LF	151	152	C51 Copies a cross or plus sign (2X)
Ma_LF_C54	Ma_LF_C52	mdtlgd033	gtofmd054	gl1fmd052	lfcfmd052	C54	C52	LF	155	153	C52 Counts 3 or more objects
Ma_LF_C53	Ma_LF_C53	mdtfmd034	gtofmd053	gl1fmd053	lfcfmd053	C53	C53	LF	154	154	C53 Copies a square (2X)
Ma_LF_C52	Ma_LF_C54	denfmd024	gtofmd052	gl1fmd054	lfcfmd054	C52	C54	LF	153	155	C54 Draws 3 or more body parts
Ma_SF_C04	Ma_SF_C01	mdtsed001	gpasec004	gs1sec001	sf_sec001	SF004	SF001	SF	4	1	SF001 Does your child smile?
Ma_SF_C06	Ma_SF_C02	cromoc008	gpamoc006	gs1moc002	sf_moc002	SF006	SF002	SF	6	2	SF002 When lying on his/her back, does your child move his/her arms and legs?
Ma_SF_C15	Ma_SF_C03	crosec002	gpasec015	gs1sec003	sf_sec003	SF015	SF003	SF	15	3	SF003 Does your child look at your face when you speak to him/her?
Ma_SF_C01	Ma_SF_C04	gsdlac001	gpalac001	gs1lgc004	sf_lgc004	SF001	SF004	SF	1	4	SF004 Does your child cry when he/she is hungry, wet, tired, or wants to be held?
Ma_SF_C03	Ma_SF_C05	gsdfmc003	gpafmc003	gs1moc005	sf_moc005	SF003	SF005	SF	3	5	SF005 Does your child grasp your finger if you touch her hand?
Ma_SF_C02	Ma_SF_C06	gsdcgc002	gpacgc002	gs1cgc006	sf_cgc006	SF002	SF006	SF	2	6	SF006 Does your child look at and focus on objects in front of him/her?
Ma_SF_C11	Ma_SF_C07	cromoc007	gpamoc011	gs1moc007	sf_moc007	SF011	SF007	SF	11	7	SF007 Does your child bring his/her hand to his/her mouth?
Ma_SF_C05	Ma_SF_C08	iyomoc001	gpamoc005	gs1moc008	sf_moc008	SF005	SF008	SF	5	8	SF008 Does your child try to move his/her head (or eyes) to follow an object or person?
Ma_SF_C10	Ma_SF_C09	iyosec004	gpasec010	gs1sec009	sf_sec009	SF010	SF009	SF	10	9	SF009 Does your child smile when you smile or talk with him/her?
Ma_SF_C07	Ma_SF_C10	croclc001	gpaclc007	gs1lgc010	sf_lgc010	SF007	SF010	SF	7	10	SF010 Does your child look at a person when that person starts talking or making noise?
Ma_SF_C16	Ma_SF_C11	iyosec001	gpasec016	gs1sec011	sf_sec011	SF016	SF011	SF	16	11	SF011 Does your child stop crying or calm down when you come to the room after being out of sight, or when you pick him or her up?
Ma_SF_C12	Ma_SF_C12	iyolgc002	gpalgc012	gs1lgc012	sf_lgc012	SF012	SF012	SF	12	12	SF012 When you talk to your child, does he/she smile, make noises, or move arms, legs or trunk in response?
Ma_SF_C14	Ma_SF_C13	iyosec002	gpasec014	gs1sec013	sf_sec013	SF014	SF013	SF	14	13	SF013 When you are about to pick up your child, does he/she act happy or excited?
Ma_SF_C21	Ma_SF_C14	iyolgc001	gpalgc021	gs1lgc014	sf_lgc014	SF021	SF014	SF	21	14	SF014 Does your child turn his/her head towards your voice or some noise?
Ma_SF_C26	Ma_SF_C15	cromoc006	gpamoc026	gs1moc015	sf_moc015	SF026	SF015	SF	26	15	SF015 Does your child grasp onto a small object (e.g., your finger, a spoon) when put in his/her hand?
