row	code	label	gsed	gsed2	p1	p2	instrument	domain	mode	number
176	Ma_SF_C021	If you play a game with your child, does he/she respond with interest? For example, if you play peek-a-boo, pat-a-cake, wave bye-bye, etc. does your child smile, widen their eyes, kick or move arms or vocalize?	iyosec003	gpasec031	sf1	__c	gs1	se	c	21
177	Ma_SF_C022	Does your child recognize you or other family members (e.g., smile when they enter a room or move toward them)? 	croclc014	gpaclc033	sf1	__c	gs1	se	c	22
178	Ma_SF_C023	Does your child laugh?	croclc006	gpaclc023	sf1	__c	gs1	lg	c	23
179	Ma_SF_C024	Does your child smile or become excited when seeing someone familiar? 	crosec003	gpasec032	sf1	__c	gs1	se	c	24
180	Ma_SF_C025	When your child is on his/her stomach, can he/she turn his/her head to the side?	gsdgmc005	gpagmc013	sf1	__c	gs1	mo	c	25
181	Ma_SF_C026	Does your child make sounds other than crying when LOOKING at toys or people?	iyolgc003	gpalgc022	sf1	__c	gs1	lg	c	26
182	Ma_SF_C027	Is your child interested when he/she sees other children playing? Does she or he watch, smile, or look excited?	iyosec006	gpasec045	sf1	__c	gs1	se	c	27
183	Ma_SF_C028	Does your child hold his/her hands in fists all the time? 	cromoc001	gpamoc008	sf1	__c	gs1	mo	c	28
184	Ma_SF_C029	Can your child hold his/her head steady for at least a few seconds, without it flopping to the side?	iyomoc004	gpamoc024	sf1	__c	gs1	mo	c	29
185	Ma_SF_C030	When held in a sitting position, can the child hold his/her head steady and straight?	cromoc002	gpamoc037	sf1	__c	gs1	mo	c	30
186	Ma_SF_C031	When your child is on his/her stomach, can he/she hold his/her head up off the ground?	gsdgmc006	gpagmc018	sf1	__c	gs1	mo	c	31
187	Ma_SF_C032	Does your child show interest in new objects that are put in front of him/her by reaching out for them?	croclc004	gpaclc034	sf1	__c	gs1	cg	c	32
188	Ma_SF_C033	When he/she is on his/her tummy, can your child hold his/her head straight up, looking around for more than a few seconds? He/she can rest on his/her arms while doing this.	iyomoc005	gpamoc029	sf1	__c	gs1	mo	c	33
189	Ma_SF_C034	Can your child roll from his/her back to stomach or stomach to his/her side? 	gsdgmc007	gpagmc030	sf1	__c	gs1	mo	c	34
190	Ma_SF_C035	Can your child reach for AND HOLD an object, at least for a few seconds?	iyomoc007	gpamoc035	sf1	__c	gs1	mo	c	35
191	Ma_SF_C036	Can your child eat food from your fingers or off a spoon you hold?	mdtsed006	gpasec039	sf1	__c	gs1	li	c	36
192	Ma_SF_C037	"Does your child make single sounds like ""buh"" or ""duh"" or ""muh""?"	iyolgc004	gpalgc027	sf1	__c	gs1	lg	c	37
193	Ma_SF_C038	Can your child sit with support, either leaning against something (furniture or person), or by leaning forward on his or her hands?	iyomoc008	gpamoc044	sf1	__c	gs1	mo	c	38
194	Ma_SF_C039	Does your child try to reach for objects that are in front of him/her by extending one or both arms?	iyomoc006	gpamoc028	sf1	__c	gs1	mo	c	39
195	Ma_SF_C040	Can your child pick up a small object (e.g., a small toy or small stone) using just one hand?	cromoc012	gpamoc040	sf1	__c	gs1	mo	c	40
196	Ma_SF_C041	When lying on his/her stomach, can your child hold his/her head and chest off the ground using only his/her hands and arms for support? 	cromoc005	gpamoc042	sf1	__c	gs1	mo	c	41
197	Ma_SF_C042	If an object falls to the ground out of view, does your child look for it?	iyomoc009	gpamoc041	sf1	__c	gs1	cg	c	42
198	Ma_SF_C043	When lying on his/her back, does the child grab his/her feet? 	cromoc009	gpamoc043	sf1	__c	gs1	mo	c	43
199	Ma_SF_C044	Can your child roll from his/her back to stomach, or stomach to back, on his/her own? 	cromoc010	gpamoc038	sf1	__c	gs1	mo	c	44
200	Ma_SF_C045	Does your child play by tapping an object on the ground or a table? 	croclc007	gpaclc047	sf1	__c	gs1	mo	c	45
201	Ma_SF_C046	Does the child look for an object of interest when it is removed from sight or hidden from him/her (e.g., put under a cover, behind another object)? 	croclc008	gpaclc046	sf1	__c	gs1	cg	c	46
202	Ma_SF_C047	Can your child hold him/herself in a sitting position without help or support for longer than a few seconds? 	cromoc011	gpamoc049	sf1	__c	gs1	mo	c	47
203	Ma_SF_C048	Does your child intentionally move or change his/her position to get objects that are out of reach? 	croclc011	gpaclc048	sf1	__c	gs1	mo	c	48
204	Ma_SF_C049	Does your child make two similar sounds together like baba, mumu, pepe, didi (single consonant vowel combinations)?	iyolgc006	gpalgc051	sf1	__c	gs1	lg	c	49
205	Ma_SF_C050	When you put your child on the floor, can she lean on her hands while sitting?	aqigmc012	gpagmc036	sf1	__c	gs1	mo	c	50
206	Ma_SF_C051	Can your child pass a small object from one hand to the other?	iyomoc012	gpamoc052	sf1	__c	gs1	mo	c	51
207	Ma_SF_C052	Can your child bang objects together, or bang an object on the table or on the ground?	iyomoc011	gpamoc050	sf1	__c	gs1	mo	c	52
208	Ma_SF_C053	Can your child pick up small bits of food and feed him/her-self using his/her hand?	mdtsed012	gpasec064	sf1	__c	gs1	li	c	53
209	Ma_SF_C054	Can your child pick up and drop a small object (e.g., a small toy or small stone) into a bucket or bowl while sitting? 	cromoc022	gpamoc058	sf1	__c	gs1	mo	c	54
210	Ma_SF_C055	Can your child maintain a standing position while holding on to a person or object (e.g., wall or furniture)? 	cromoc015	gpamoc054	sf1	__c	gs1	mo	c	55
